SERVICE;PROTOCOL;DIR;SRC;SRCPORT;DEST;DESTPORT;STATE;AGE;EXP;PKTS;BYTES
HTTP;TCP;In;192.168.196.68;65002;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:31;00:00:59;6;264
HTTP;TCP;Out;201.65.78.233;52560;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:31;00:00:59;6;264
SNMP;UDP;In;10.100.22.10;58787;192.168.1.20;161;NO_TRAFFIC:SINGLE;00:00:30;00:00:20;6;642
SNMP;UDP;Out;201.65.78.233;4584;192.168.1.20;161;SINGLE:NO_TRAFFIC;00:00:30;00:00:20;6;642
HTTP;TCP;In;192.168.195.109;48084;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:28;00:01:02;6;264
HTTP;TCP;Out;177.200.93.126;51902;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:28;00:01:02;6;264
SNMP;UDP;In;192.168.180.114;63420;192.168.233.61;161;NO_TRAFFIC:SINGLE;00:00:28;00:00:23;6;642
SNMP;UDP;Out;201.65.78.233;6032;192.168.233.61;161;SINGLE:NO_TRAFFIC;00:00:28;00:00:23;6;642
HTTP;TCP;In;192.168.188.189;60376;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:26;00:01:04;6;264
HTTP;TCP;Out;177.200.93.126;18760;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:26;00:01:04;6;264
HTTPS;TCP;In;192.168.88.35;59864;161.117.97.141;443;ESTABLISHED:ESTABLISHED;00:00:01;00:00:00;6;2169
HTTPS;TCP;Out;177.200.93.126;43987;161.117.97.141;443;ESTABLISHED:ESTABLISHED;00:00:01;00:00:00;6;2169
HTTP;TCP;In;192.168.84.164;34682;2.20.196.67;80;ESTABLISHED:ESTABLISHED;01:19:06;22:41:26;6;352
HTTP;TCP;Out;177.200.93.126;48564;2.20.196.67;80;ESTABLISHED:ESTABLISHED;01:19:06;22:41:26;6;352
HTTP;TCP;In;192.168.170.77;33485;189.36.162.62;80;ESTABLISHED:ESTABLISHED;01:24:16;22:35:59;6;408
HTTP;TCP;Out;177.200.93.126;44949;189.36.162.62;80;ESTABLISHED:ESTABLISHED;01:24:16;22:35:59;6;408
HTTP;TCP;In;192.168.88.35;44450;157.185.174.89;80;TIME_WAIT:TIME_WAIT;00:01:39;00:00:00;6;272
HTTP;TCP;Out;177.200.93.126;36198;157.185.174.89;80;TIME_WAIT:TIME_WAIT;00:01:39;00:00:00;6;272
HTTP;TCP;In;192.168.88.35;39078;108.139.119.109;80;FIN_WAIT_2:FIN_WAIT_2;00:01:38;00:00:00;6;328
HTTP;TCP;Out;177.200.93.126;45850;108.139.119.109;80;FIN_WAIT_2:FIN_WAIT_2;00:01:38;00:00:00;6;328
HTTP;TCP;In;192.168.88.35;40072;157.185.173.120;80;TIME_WAIT:TIME_WAIT;00:01:38;00:00:00;6;272
HTTP;TCP;Out;177.200.93.126;27341;157.185.173.120;80;TIME_WAIT:TIME_WAIT;00:01:38;00:00:00;6;272
HTTP;TCP;In;192.168.180.78;37262;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:19;00:01:11;6;264
HTTP;TCP;Out;177.200.93.126;2327;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:19;00:01:11;6;264
HTTP;TCP;In;192.168.88.35;40820;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:01:34;00:00:00;6;264
HTTP;TCP;Out;177.200.93.126;59702;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:01:34;00:00:00;6;264
HTTP;TCP;In;192.168.91.216;57192;23.37.228.226;80;ESTABLISHED:ESTABLISHED;05:05:48;18:54:43;6;352
HTTP;TCP;Out;177.200.93.126;13263;23.37.228.226;80;ESTABLISHED:ESTABLISHED;05:05:48;18:54:43;6;352
HTTP;TCP;In;192.168.88.35;52672;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:01:32;00:00:00;6;264
HTTP;TCP;Out;177.200.93.126;25866;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:01:32;00:00:00;6;264
HTTP;TCP;In;192.168.88.35;40821;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:01:19;00:00:11;6;264
HTTP;TCP;Out;177.200.93.126;17592;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:01:19;00:00:11;6;264
HTTP;TCP;In;192.168.88.35;52673;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:01:16;00:00:14;6;264
HTTP;TCP;Out;177.200.93.126;48353;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:01:16;00:00:14;6;264
HTTP;TCP;In;192.168.88.35;47286;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:01:09;00:00:22;6;264
HTTP;TCP;Out;177.200.93.126;31236;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:01:09;00:00:22;6;264
ISAKMP;UDP;In;192.168.160.81;500;12.46.135.194;500;NO_TRAFFIC:SINGLE;00:00:03;00:00:29;6;2040
ISAKMP;UDP;Out;177.200.93.126;500;12.46.135.194;500;SINGLE:NO_TRAFFIC;00:00:03;00:00:29;6;2040
